text,label
spotify adalah aplikasi musik yang sangat praktis dan menyenangkan digunakan karena memiliki koleksi lagu yang sangat lengkap mulai dari lagu indonesia hingga internasional tampilan aplikasinya sederhana sehingga mudah dipahami bahkan untuk pengguna baru kualitas suara yang dihasilkan juga jernih dan nyaman didengar selain itu fitur playlist lirik lagu dan rekomendasi musik membantu pengguna menemukan lagu lagu baru sesuai selera aplikasi ini juga bisa digunakan kapan saja dan di mana s,positif
banyak iklan mana ampe 3 lagi,negatif
aplikasinya baguss bangett ada lirik plus bisa offline an juga,positif
bagus,positif
maaf ya para pihak spotify dimana saya ingin menyetelkan lagu harus beli premium dulu terus ganti lagu nya tunggu satu jam dan iklan nya tolong di kurangin itu dari saran saya ya terima kasih,negatif
ini sangat membantu,positif
bagus sekali,positif
iklan tok,negatif
ga bangett masa sekarang milih lagu harus premium dulu pliss deh min balikin kayak dulu lagi min,negatif
nikmati skli,positif
saran saya iklan nya di kurangi dan kalau mau nge download music jangan harus beli dulu premium karna aku juga biasanya suka ngedenerin musik kalau misalnya aku kgk ada kouta,negatif
great,positif
min inikok habis 2 minggu aku gk bisa masuk app nya lagi min,negatif
saya sering menggunakan spotify untuk mendengarkan musik saat bosan aplikasi ini memiliki banyak pilihan lagu dari berbagai genre dan musisi dalam maupun luar negeri fitur pencarian liriknya juga sangat membantu ketika lupa judul lagu selain itu tampilannya mudah digunakan dan kualitas suaranya bagus namun iklan pada versi gratis terlalu sering muncul sehingga cukup mengganggu harga premium juga terasa mahal untuk pelajar,negatif
baik,positif
sangat mantap,positif
sangat bagus,positif
sukaa lagu lagu nyaa intinya suka sama spotify,positif
menggunakan spotify memberikan manfaat memudahkan saya menemukan berbagai genre lagu dan podcast edukatif dari seluruh dunia spotify ini sangat membantu saya menciptakan suasana belajar yang lebih tenang fokus dan teratur dan ada dampak negatif yang saya rasakan adalah mendengarkan lagu terkadang membuat saya kurang peka terhadap interaksi lingkungan sekitar adanya iklan yang terus menerus pada versi gratis biaya langganan bulanan bisa memberikan tekanan ekonomi kecil,netral
seruu,positif
dulu yang di download bisa di buka tidak pakai internet tapi sekarang gak bisa,negatif
sekarang premium mahal jadi ga perpanjang2 lagi dan yang biasa itu iklan nya ampun sering banget,negatif
aplikasi yg bagus,positif
bagus banget,positif
zero respect for privacy offline mode is buggy,negatif
repp ada semua,positif
bagus banget cocok buat yang lagi galau atau gabut,positif
pas waktu masuk apk kok item mulu yakk aku tunggu tunggu udh lebih dari 5 menit tapi masih aja item,negatif
bagus cuma banyak iklan,negatif
apk kikir dikit dikit iklan dikit dikit iklan dikit dikit prem dikit dikit prem bosen tau gak lagian kenapa sih nyepam iklan premium mulu mau bangkrut perusahaan lu atau lu nya mau naik haji gelo kikir nya setara king capcut,negatif
iklan makin lama makin nambah apa apaan dari 3 jd 4 mikrisis kid,negatif
bagus,positif
suka bangett,positif
sekarang spoti udah ga bisa dibawa ke apk lain ya pas buka apk lain malah berhenti pdhal dulu ngga gasuka bgt lagi enak dengerin lagu malah berhenti apaan bgt,negatif
maruk banget jadi apk iklan mulai bejibun,negatif
baguss,positif
ui bagus bug nya juga dikit cuman yang bikin nyebelin itu tuh setiap 2 4 lagu ada iklan 1 menit harga premium juga mahal,negatif
great,positif
bagus si tp tolong lah baru juga selesai lagu nya udh iklan mana iklan ny sekaranh 5 lagi apa tambahin lagi 10 sekalian bete deh tapi suka apk nya,netral
saya suka sekalii,positif
saya rubah bintangnya sebab sekarang makin aneh memaksakan orang berlangganan,negatif
terimakasih spotify sudah menemaniku aktivitas sehari hari semakin jadi lebih indah,positif
iklannya kebnyakan anjr skrg,negatif
sangat baguss,positif
apk kikir,negatif
jujur bagyuss syukakk,positif
enak,positif
baguss,positif
luar biasa,positif
saya mohon supaya tidak ada lagi premium premium itu mengganggu sekali saya sanga membenci karena ada premium yang bilang pakai bayar lah mengganggu sekali gimana sih ketika sayaa membuka harus muncul premium premium begitu bikin orang emosi dan lagu favorite gak bisa di putar gimana sih,negatif
sukaa,positif
is music is bes,positif
saya tidak bisa memasuki aplikasi nya agar kalian melihat komentar saya saya mengasih bintang 5 pada aplikasi bug eror ini padahal ini aplikasi tidak bisa saya buka dari kemarin sampai sekarang padahal wifi saya bagus tapi tetap hitam tanpa apapun kalau besok masih seperti ini aplikasinya saya kasih bintang satu saya apus ini aplikasinya sekian terima kritik fakta ku,negatif
banyak iklan maksa berbatar,negatif
banyak iklan nya satu lagi iklannya 4,negatif
banyak lagu yang sefrekuensi,positif
banyak yg berbayarr,negatif
lagu nya bagus,positif
kikir,negatif
seru banget banyak lagu apa lagi klo offline masih bisa denger lagunya,positif
woww amazingg,positif
kikir,negatif
ok,positif
lagu nya keren bget free lagi,positif
ada iklannya dan itu 3 kali berturut turut tolong iklannya di kurangi,positif
sering terjadi masalah pada jaringan walaupun udah realog login ulang tetap aja sama tolong di benarkan lagi,netral
bagus tapi iklan sudah terlalu banyak itu saja,netral
aplikasi nya kece dan bagus,positif
ini sangat bagus setiap saya selesai menyetel lagu selalu diputarkan lagu lagi dengan genre yang sangat bagus,positif
bisa dengar lagu yg gratis dan enak,positif
kenapa spotify saya setelah update gak bisa dibuka ya padahal sinyalnya lancar dan tulisannya coba lagi tolong diperbaiki,positif
lagu nya bagus sedih selami yang menemani ku spotify spotify jangan pergi dari aku,positif
makin kesini makin kikir lagu baru keputer 2 ikannya nyampe 4 mana isinya orang teriak teriak milih skip lagu juga terbatas marketingnya sampah dikira dengan iklan dibanyakin fitur dibatasin orang bakal beralih ke prem orang bakal beralih ke aplikasi yang lebih cheap dan worth it lah lagian tujuan utama orang langganan prem overprice cuma buat ngilangin iklan feature tambahan lainnya tuh jarang kepake jir perusahaan digital music segede gini marketingnya sampah,negatif
suka ih,positif
aplikasi bagus tapi kenapa harus premium kami user gratisan jadi kasian,negatif
bikin akun ko ga bisa bisa ya gi mana sih ini,positif
bagus saya suka,positif
kenapa harus premium untuk ganti lagu apk kikir,negatif
banyak lagu lagu yang vibes nya tuh mencolok bgt suka bgt,positif
bagus,positif
lagunya lengkap dan semua lagunya bagus aku suka,positif
gabisa semuanya,netral
aplikasi ini sangat keren saya bisa mendengar lagu sambil bermain game,positif
bagus cuman gak bebas,positif
terlalu bagus ini bintang 10 tak terbatas,positif
apk nya ngebug mulu jadi males makenya,negatif
bagus tapi banyak iklan,negatif
wow,positif
omg best bisa dengar musik lagu kesukaan kuu,positif
baguss cuma banyakk banget iklannyaa jadii ke ganggu kalo lagii enakk dengerin lagu tuhh,positif
cukup menghibur,positif
kebanyakan iklan,negatif
sbnrnya pas awal mke gw enjoy and seneng aja smpe gw k apk ini trs tpi kmrin pas gw style lagu tb error dan gw smpe beli data gw cb dengerin lagu eh tb blm ada sedetik gbisa di style lagu nya ilang dan gw cari mlh gda gw daftar lagi pke akun baru dan yap awal gw kira udh membaik gw terpaksa ikhlasin playlist gw dan buat ulg wlau dkit ps hri ini kejadian itu terulang lagi pdhl lagu gw skrg dibawah 100 sbnr nya ni apk punya mslh apa si gw cape tau ngdepin bug ny mn 2 lagu 3 ikln mksa prem bgt,negatif
saya suka mendengarkan lagu di aplilasi sportify,positif
mantap,positif
lagu ny bgus bgus dan lagu di sini lengkap dan bnyk,positif
dalam momen lagi stress senang sedih denger spotify kalo lagi kerja liburan sekolah tidur atau galau sekalipun dengerin aja spotify karna lagu nya buat kita nyaman sesuai dgn perasaan kita apalagi pake premium semoga kalian senang pake spotify,negatif
apk ini bagus bngt,positif
iklan di spotify dulu masih bisa di mengerti lah ya tapi sekarang spotify kayak udah bilang no premium no music,negatif
makin kikir jir lama lama kaya cc nih makin kapitalis malah skrg ada batas perhari putar lagu kacau kacau,negatif
rendah kan dikit harganya,positif
kikir banget mau pilih lagu di playlist aj premium skip batas 6 kali per jam plis lah kikir nya keterlaluan premium premium lama lama jadi stress,negatif
sangat menyenangkan,positif
ok,positif
saya sebenarnya sudah nyaman memakai aplikasi ini tapi kok pas saya buka aplikasi ini ada tulisan something went wrong saya sudah mencoba mencari semua cara untuk memperbaikinya tapi tidak bisa tolong diperbaiki lagi,netral
lagu nya bikin nyaman,positif
mantap,positif
iklan mulu algoritma nya jg bad bgt,negatif
aplikasi yg bagus,positif
enak banget lagunya,positif
sangat bagus,positif
mantap,positif
bagus banget semua musik yang aku mau ada semua,positif
gila keren buat latihan suara juga bisa bagus banget,positif
enak banget buat di dengerin sehari,positif
hmm apayaa gada yg kurang siih mantap,negatif
mantap tingkatkan terus,positif
aku mau masuk tapi gak bisa padahal gua udah masukin kode dan lain lain,netral
ini bagus ketemu lagu kesukaan saya saya beri reting 10 10,positif
masa baru setel 1 lagu iklan nya 3 terus ada selang 2 atau 3 lagu iklan lgi,negatif
asik dan menghibur,positif
bagus,positif
sanagaat baguss,positif
sayaa sukaa sekalii mendengar nyaa disaat saya sedih saya selalu mndengar spotify terimakasih spotify,positif
kenapa sekarang ga bisa milih lagu si min harus bayar dulu mana iklan 1 lagu 4 durasi 20 30 detik,negatif
lagu nya asik asik dan kalau tidur aku pake spotify nyeyak,positif
bagus tapi minimal yang bahasa asing misalnya jepang atau korea dan china itu bahasa nya bisa dibuat indo lah,positif
dengerin lagu gak ada sepuluh aja udah gak bisa maksa mulu suruh premium,negatif
bagus bangeet,positif
keren bangs pokok keren terimakasih,positif
mantap,positif
bagus,positif
ini musiknya banyak,positif
cocok buat santai,positif
bagus,positif
kerren,positif
terjadi kesalahan terus,negatif
banyak iklan,negatif
bagus,positif
banyak banget iklannya jir kurang kurangin dah kata gua,netral
bgus,positif
hal yg menjijikkan adalah sponsor nya lbh dr satu parah parah,negatif
ok,positif
heran perasaan dulu kalo mau ganti lagu nggak bayar tuh tapi sekarang malah dibatasi dan banyak banget iklannya makin kesini makin ga ngerti lagi kalo ulasan kaya aku gini pasti ga ditanggapi soalnya kan mereka cuma mau uang bukan kenyamanan buat pendengar kalo gini terus sih ya aplikasi lu bangkrut gara gara gaada yang dengerin lagi,negatif
bagus tapi ada sedikit iklan,netral
kebanyakan iklan gua denger musik 1 aj iklan nya lu kasih ke gua 3,negatif
udah bagus cuman saran ku kurangin iklannya apaan perasaan dulu dua iklan doang sekarang jadi empat,netral
wow,positif
good time,positif
bagus tapi banyak iklannya,negatif
saya sangat menyukai aplikasi ini,positif
bangus tapi gak premium,positif
terlalu memaksakan buat disuruh upgrade ke premium,negatif
bagus,positif
bagus,positif
ini kenapa ada tulisan coba lagi trus padahal sinyal lancar jaya aku jdi gk bisa masuk ke spotifyku,positif
bagus,positif
lagu ya sangat enak tapi iklan ya sangat mengganggu,netral
1 lagu 4 iklan,negatif
enak banget lagu nya tau,positif
apl nya lama lama ngelunjak ya kita sebagai user mau menikmati lagu yg enak dan di putar suka suka kita dan kenapa harus premium dlu di kira semua orang mampu gitu ga semua nya min kita yg blom bisa pake premium nangis di pojokan trus juga harga premium nya ga masuk akal banget dehh heran yallah begini nya tolong min di balikin ke apl nya awal nya saya ga suka banget kebelet umroh banget,negatif
sangat memuaskan,positif
enak banget denger musik yang gak nyaman tiba tiba iklan lagi dengerin musik,negatif
seru bgt denger lagu nya,positif
maaf bgt loh aku pengen bgt kasih bintang 5 tapi ada masalah nya do spotify aku pas aku buka jadi hitam gitu apk nyaa lama bgt udah ulang ulang aku coba tapi tetap hitam pas aku update bagus bagus aja udah baik tapi pas pulang sekolah ga bisa lagi malah hitam lagi aneh bgtt mana lama download ny,negatif
iklannya makin banyak gak tanggung2 langsung 4 iklam makin kesini makin ga worth it buat user gratisan kek gw,negatif
g suka soalnya iklan bnyk hrus prem jga lo sekarang kikir bngt sih cman karna bnyk yg make semua org harus prem kesel tau gasih,negatif
seperti aku yang bayangkan dan lagunnya komplit,positif
seru dan asik,positif
aku suka tapi gasuka iklan nya doang the best sihh,netral
banyak iklan,negatif
jelek gak bisa pilih sendiri lagunya kalau mau pilih sendiri harus bayar,negatif
makin kesini makin kikir,negatif
sg mgk k sk sk,positif
ini bagus sekali,positif
bagus,positif
makin hari makin kikir makin kebanyakan iklan maksa bet mo premium in lu kebelet haji apa gmna,negatif
mantap untuk spotify tapi agak murah kan la langganan nya ni rating bintang 5,positif
the best pokoe,positif
sebenernya bagus aja apk nya tapi iklan nya terlalu banyak trus durasi iklan nya juga lama kadang 1 lagu 3 4 iklan lebih lama iklan dr pada lagu nya kurang in deh iklan nya ya cuman itu aja yg ganggu tp kdang juga 3 lagu 3iklan lebih suka yg lebih dr 1 lagu trus iklan dr pada 1 lagu bnya iklan ty spotify jgn maksa kmi pake premium yh,negatif
kenapa sih gw nyalain lagu sambil main gem trs lagu nya tiba tiba hilang,negatif
kalo lagi bosen galau enak nih di spotify,negatif
bagus tapi iklam mulu,positif
puaskan memorimu,positif
bagus tapi kadang gak bisa di buka,positif
cocok buat berberes sambil dengerin lagu spotify,positif
apa apaan ini masa klik lagu yang kita mau di suruh premium,negatif
bagus,positif
mantapp,positif
bgus,positif
baguss,positif
apk bagus enak buat dengerin musik,positif
hidup jadi terasa lebih hidup dengan spotify yang selalu menemani,positif
dulu aku pake ini karena aku ingin denger lagu poppy playtime tapi sekarang mereka minta kita untuk premium di semua 1 bagian oh lu mau urutin lagu premium oh mau di simpen playlist buat jln jln harus premium kaya pengen tampol orang yg buat fitur ini loh,negatif
good,positif
paket komplit dah,positif
kalau bisa di hilangkan iklan nya xixixi terima kasih spotify,negatif
well,positif
suka banget sama podcast nya,positif
lagi enak dengerin musik kenapa selalu keluar sendiri sih sebel banget sampek q instal ulang lo ini,negatif
bagus sekakiio,positif
mantap,positif
kenapa habis update ngga bisa dengerin musikk pls lah benerin yg benerr udh akun ku dihapus ga bisa dengerin musik loading muluu capee,negatif
nyaman ya,positif
mau putar lagu doang harus premium,negatif
kalo kita belum premium di kasih batasan kayak wajib banget premium masih mending murah lah ini,negatif
suka dengerin lagu disini,positif
bagus,positif
kren lah,positif
mantap,positif
seru,positif
jelek banget sumpah apa harus premium dulu dah wkwkwk jelek,negatif
mau masuk akun lewat no hp kok gbs nyuruh pake no lain aja pdhl akun nya pengen yang no itu,negatif
keren banget,positif
amazing,positif
untuk mendengarkan lagu sangat enak dan simpel,positif
aplnya error tiba saya gabisa buka aplnya udah ganti akun tetep sana gabisa,negatif
aplikasi bagus sekali semua lagu ada saya suka,positif
iklannya 4x totalnya 1 2 menit padahal kemaren cmn 2 doang udh mulai kikir nih app pas masa berlangganan ku habis,negatif
good,positif
babii iklan tuh gausah banyak banyak baru ngedengerin 2 lagu iklan nya 4 anj ini mah dengerin iklan bukan dengerin lagu lu tuh udh bagus kurangin lah iklan nya,negatif
apk nya tolong di kurangin iklan nya,negatif
banyak iklan anjg,negatif
gak bisa bukak,negatif
iklannya bejibun,negatif
iklanya kaga ngotak,negatif
dengerin lagu di sini tuh suka banget ya walau gak jadi langanan vip sih jadi kek gak bisa dengerin sambil offline gitu tapi suka sama lagunya enak buat di denger terus artis nya tuh ada semua,positif
lagu yg sangat memuaskan,positif
iklannya rodok ganggu,positif
baguss,positif
kikir bgt iklan nya bisa sampe 4 atau gak 5 dengerin iklan segitu banyak kaya dengerin musik tpi versi iklan 30dtk 5 150 jdi 2 mnt 30 dtk gg,negatif
murah untuk masuk ke dalem video yang ga ada iklan nya dan seru ada potkes tentang arti artis terkenal dan ada lagu yang langsung di nyanyiin sama kepop seru deh pokoknya aku suka,positif
makin lama makin kikir ni apk apa apa harus premium,negatif
seru dengerin musik,positif
nice,positif
tolong kurangi iklan walaupun kita tidak premium kira juga ingin menikmati kagu dengan kebebasan tanpa iklan,netral
sebenernya bagus cuma apa apa harus premium jadi tolong lah agak di kurangin iklan dan tambah waktu mendengarkan,negatif
kikir,negatif
spotify ini denger iklan apa musik putar musik 2 3 kali iklan 3 kali hadeuhh,negatif
bagus bangett tapi minus nya banyak iklan aja sih bagi kaum spotify yang ga premium kek aku wkwk,negatif
spotify jelek anj,negatif
tidak lagi memberikan hiburan lbh ingin mengontrol,positif
ada bug kah di tanggal dan jam ini sekarang ini,negatif
suka bgt plss,positif
bagus,positif
entah mengapa untuk hp vivoj2026 tidak dapat melakukan download yang hanya ngestuck di angka 76 dantidak mau bertambah sekian terimakasih walaupun memang hp ini radak jadul tapi tolonglah didukung di perangkat ini,netral
bagus aja deh,positif
ini kok gabisa muter lagu ya apa ada limit,negatif
enaken buat tidur,positif
mantap,positif
banyak bet iklannya woi,netral
sangat berguna bisa menemani kapan pun dan diana pun sangat bagus,positif
spotify ini sangat bagus karena semua lagu ada disitu tapi yang kurang cuman satu yaitu ngeleg dia itu kalau baru buka spotify pasti dia lang ngeleg jadi yang ngeleg itu diperbaiki ya tapi saya tetap beri bintang 5,positif
banyak iklan baru satu lagu iklan lagi satu lagi iklan 4x 30 detik,negatif
kukira apelikasi nya geratis tapi kalo mau milih lagu harus bayar 76rp untuk 2 bulan tambah kalo mau dolnot lagu harus peramiyum,negatif
bagus banget cocok buat belajar biasa nya kalo belajar suka dengerin musik atau juga buat lagi bersih bersih biar gak bosen,positif
seruu banget kalo galau tinggal di spotify,positif
spotify sekarang lapar banyak banget iklan nya,negatif
sangat bagus,positif
spotify mengapa saya tidak bisa membuka aplikasi saya ketika saya buka selalu hanya ada ada yang salah selalu seperti itu dari kemarin apakah itu bug kalau bug tolong secepatnya di fix saya selalu pakai spotify untuk mendengarkan musik,negatif
fleksibel,positif
cocok buatt galauu,negatif
bagus bgt asli ini mahh,positif
spotify bagus bangat dan banyak lagu yg enak di dengar,positif
ini gimana spotify aplikasinya ku buka kok cuma muncul logo doang padahal udah ku update,negatif
thank you buat bantuan atas kendalakuu aku jadi bisa dengerin musik lagi hehehe 3,positif
iklan ga ngotak,negatif
banyak iklan nya,negatif
to much iklan,negatif
buat main ff kok kagaada suaranya,negatif
kebanyakan iklan kurangi gakk iklannya,negatif
enak nikmat juga spotify ini rupanya karena sering main game hampir lupa buka app spotify oya pendengaran saya dengar spotify sangat jelas suara musicnya lain pokoknya nikmat banget dech,positif
tolong iklan sedikit aj,netral
sangat membantu dan menghibur,positif
apl gk jelas selesai 1 lagu langsung iklan saran gw pindah apl lain aja gw tau gw g beli premium tapi iklan nya yg ngotak lah,negatif
cukup seru dan sebaiknya jangan suka tiba tiba mati jadi harus keluar aplikasi jadi ribet,negatif
makin hari makin banyak iklan masa sampe 6 iklan tiap ganti lagu 2x jangan terlalu kikir kenapa mana yg premium paket standar foturnya kurang worh it tolong lah ya di kurangi iklanya kyk dulu lagi dong cmn 2 iklannya,negatif
lagunya enak enak,positif
bagus bgt apk tapi ketika saya ingin mengunakan layanan gratis tetapi tidak bisa tolong di perbaiki jika rusak atau cuma saya,netral
karna bangus,positif
iklan nya 5 lapis,negatif
lumayan cuma kikir aja,negatif
suka dengerin lagu di spotify tapi iklan nya ganggu banget maksa nyuruh kita beralih ke premium,netral
bagus bgt tolong tingkatkan lagi,positif
kurangin iklan nya,negatif
kadang gak sesuai dengan mood tapi aku tetap suka,positif
tidak bisa dibuka,negatif
kok gk bisa pilih musik sendiri harus bayar lumayan mahal rp 79 900 lagi,netral
iklannya tolong lah banyak banget sekarang kalo mau milih lagu aja maksimal cuma 2 kali doang dalam sehari,negatif
kebanyakan iklan woi lahh masa muter 2 lagu langsung dikasih 4 iklan yang durasinya lumayan lama,negatif
sangat bagus buat orangnya ngin main game samabil dengerin musik,positif
gasuka sm spotify sekarang apa apa premium apa apa iklan cuma mau dengerin lagu di playlist sendiri pilih lagu sesuka hati harus bayar yang bener aja dong jujur kecewa padahal dulu ga gini dengerin lagu masa iklan bisa nyampe 3 5 mengganggu bngt jangan terlalu maksa premium bisa ga ga semua orang punya banyak duit ya ngotak,negatif
bagus,positif
jelek udh verifikasi buat sheer id premium student berkali kali tapi tetap gagal dan ga dikasih solusi sama sekali sama pihak spotify gaada arahan bisa menghubungi siapa untuk mengkomunikasikan masalah ini tolong perbaiki segera,negatif
iklannya ampun deh makin banyak aja puyeng dengerin iklannya,negatif
semoga bermanfaat,positif
enak aja dengerin lagu di sini kalo gabut,positif
ga bisa masuk,negatif
gokil iklan nya makin kesini makin menjadi awalnya 1 eh ke sini sampe 3 besok 4 kayanya nih 1 iklan 30dtk lebih gacor aplikasi full iklan baru putar 2 lagu dah iklan 3,negatif
mantab untuk mendengarkan musik,positif
boikot,negatif
suka offline,negatif
sya suka apliksi spotify ini,positif
asik di dengerin,positif
iklannya kebanyakan no recommend,negatif
boikot gak si ini,negatif
standarnya sudah memuaskan apalagi kalau bayar premium,negatif
kualitas buruk,negatif
tolong iklan nya satu aja saya lagi nonton musik ke ganggu gara gara iklan,negatif
sagan bagus aplikasi nya,positif
sangat bagus,positif
baguss bangett apk nya,positif
aplikasi nya bagus,positif
sangat cocok untuk saya yabg suka mendengar musik,positif
bagus tapi tolong kurangi iklannya,positif
maharaja premium,negatif
baguuss musik ny lengkap,positif
bagus,positif
mantabs,positif
bagus,positif
banyak iklan nya pliss ganggu banged padahal baguss,negatif
gokil,positif
kikir bet anying user free di batasin di anak tiri kan jir,negatif
bug saat ingin masuk ke spotify,negatif
aplikasi terbagus saat ini,positif
baru download udh di kasih iklan 4 biji,negatif
